@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2}

@data
1,'2024/10/30 14:13:06:429',1,491,252,1
2,'2024/10/30 14:13:06:445',1,491,252,1
3,'2024/10/30 14:13:06:462',1,491,252,1
4,'2024/10/30 14:13:06:479',1,491,252,1
5,'2024/10/30 14:13:06:496',1,491,252,1
6,'2024/10/30 14:13:06:512',1,491,252,1
7,'2024/10/30 14:13:06:529',1,491,252,1
8,'2024/10/30 14:13:06:546',1,491,252,1
9,'2024/10/30 14:13:06:563',1,491,252,1
10,'2024/10/30 14:13:06:579',1,491,252,1
11,'2024/10/30 14:13:06:595',1,491,252,1
12,'2024/10/30 14:13:06:611',1,491,252,1
13,'2024/10/30 14:13:06:628',1,491,252,1
14,'2024/10/30 14:13:06:646',1,491,252,1
15,'2024/10/30 14:13:06:662',1,491,252,1
16,'2024/10/30 14:13:06:678',1,491,252,1
17,'2024/10/30 14:13:06:695',1,491,252,1
18,'2024/10/30 14:13:06:712',1,491,252,1
19,'2024/10/30 14:13:06:728',1,491,252,1
20,'2024/10/30 14:13:06:745',1,491,252,1
21,'2024/10/30 14:13:06:761',1,491,252,1
22,'2024/10/30 14:13:06:778',1,491,252,1
23,'2024/10/30 14:13:06:795',1,491,252,1
24,'2024/10/30 14:13:06:812',1,491,252,1
25,'2024/10/30 14:13:06:828',1,491,252,1
26,'2024/10/30 14:13:06:845',1,491,252,1
27,'2024/10/30 14:13:06:861',1,491,252,1
28,'2024/10/30 14:13:06:878',1,491,252,1
29,'2024/10/30 14:13:06:895',1,491,252,1
30,'2024/10/30 14:13:06:912',1,491,252,1
31,'2024/10/30 14:13:06:929',1,491,252,1
32,'2024/10/30 14:13:06:945',1,491,252,1
33,'2024/10/30 14:13:06:961',1,491,252,1
34,'2024/10/30 14:13:06:978',1,491,252,1
35,'2024/10/30 14:13:06:995',1,491,252,1
36,'2024/10/30 14:13:07:011',1,491,252,1
37,'2024/10/30 14:13:07:028',1,491,252,1
38,'2024/10/30 14:13:07:045',1,491,252,1
39,'2024/10/30 14:13:07:061',1,491,252,1
40,'2024/10/30 14:13:07:078',1,491,252,1
41,'2024/10/30 14:13:07:095',1,491,252,1
42,'2024/10/30 14:13:07:111',1,491,252,1
43,'2024/10/30 14:13:07:128',1,491,252,1
44,'2024/10/30 14:13:07:145',1,491,252,1
45,'2024/10/30 14:13:07:162',1,491,252,1
